Factory,Month,GHG,SAH,EFF,WH,W
150,2024-07-01,11843.4,290371.0,0.68,850022.0,3907.0
434,2024-07-01,14111.3,315237.0,0.57,1062463.0,4857.0
761,2024-07-01,19339.7,170626.0,0.76,506523.0,2314.0
1122,2024-07-01,8470.5,132686.0,0.53,572829.0,2582.0
1396,2024-07-01,8236.1,159381.0,0.31,1078478.0,4929.0
1966,2024-07-01,3122.7,25590.0,0.35,158859.0,716.0
150,2024-06-01,9669.3,288403.0,0.77,717172.0,3189.0
434,2024-06-01,12583.7,269767.0,0.48,1184862.0,5478.0
761,2024-06-01,11762.1,147536.0,0.77,375114.0,1712.0
1122,2024-06-01,6088.7,156970.0,0.5,636856.0,2862.0
1396,2024-06-01,4795.6,127158.0,0.4,691776.0,3152.0
1966,2024-06-01,2271.8,21901.0,0.34,127145.0,576.0
150,2024-05-01,9561.6,273119.0,0.73,738511.0,3312.0
434,2024-05-01,8649.9,288918.0,0.53,1004661.0,4558.0
761,2024-05-01,25752.9,152237.0,0.57,555008.0,2499.0
1122,2024-05-01,4473.7,126678.0,0.6,427413.0,1912.0
1396,2024-05-01,6953.8,154938.0,0.39,796519.0,3638.0
1966,2024-05-01,2921.6,23376.0,0.33,141431.0,659.0
150,2024-04-01,9112.6,303293.0,0.71,810764.0,3584.0
434,2024-04-01,12559.9,259790.0,0.61,914342.0,4191.0
761,2024-04-01,18245.9,160451.0,0.66,502641.0,2271.0
1122,2024-04-01,5504.1,126039.0,0.54,454984.0,2064.0
1396,2024-04-01,6556.9,176715.0,0.38,909907.0,4128.0
1966,2024-04-01,2741.4,23529.0,0.32,146532.0,658.0
150,2024-03-01,12212.6,304224.0,0.72,891497.0,4103.0
434,2024-03-01,19609.2,262197.0,0.46,1217768.0,5377.0
761,2024-03-01,12939.8,149619.0,0.8,366982.0,1672.0
1122,2024-03-01,4027.8,131225.0,0.65,406954.0,1824.0
1396,2024-03-01,7561.6,137584.0,0.27,969529.0,4378.0
1966,2024-03-01,2668.6,23237.0,0.37,128657.0,571.0
150,2024-02-01,8777.7,291064.0,0.61,887260.0,4002.0
434,2024-02-01,11721.1,268049.0,0.46,1125914.0,5014.0
761,2024-02-01,15596.9,126874.0,0.67,410003.0,1868.0
1122,2024-02-01,8011.4,116182.0,0.43,618903.0,2795.0
1396,2024-02-01,6508.3,175935.0,0.38,943197.0,4281.0
1966,2024-02-01,3243.0,24532.0,0.33,133727.0,626.0
150,2024-01-01,9001.1,292092.0,0.76,786296.0,3553.0
434,2024-01-01,13073.9,268607.0,0.52,996272.0,4489.0
